Nome Instância;Número de Vértices;Número de Arestas;Epsisolon;NVA A*;Tempo médio A*;NVA ARA*;Tempo médio ARA*;Ganho de tempo com realção ao A*
USA-road-d.BAY.gr;321270;800172;4.0;43896;45980000;239;1180000;3.800%
USA-road-d.BAY.gr;321270;800172;3.5;43896;45980000;236;800000;5.700%
USA-road-d.BAY.gr;321270;800172;3.0;43896;45980000;224;800000;5.700%
USA-road-d.BAY.gr;321270;800172;2.5;43896;45980000;233;620000;7.400%
USA-road-d.BAY.gr;321270;800172;2.0;43896;45980000;252;1040000;4.400%
USA-road-d.BAY.gr;321270;800172;1.5;43896;45980000;299;740000;6.200%
USA-road-d.BAY.gr;321270;800172;1.0;43896;45980000;10867;7920000;500%
USA-road-d.FLA.gr;1070376;2712798;4.0;255312;711120000;808;3500000;20.300%
USA-road-d.FLA.gr;1070376;2712798;3.5;255312;711120000;840;2820000;25.200%
USA-road-d.FLA.gr;1070376;2712798;3.0;255312;711120000;913;2460000;28.900%
USA-road-d.FLA.gr;1070376;2712798;2.5;255312;711120000;596;2220000;32.000%
USA-road-d.FLA.gr;1070376;2712798;2.0;255312;711120000;524;1940000;36.600%
USA-road-d.FLA.gr;1070376;2712798;1.5;255312;711120000;687;2060000;34.500%
USA-road-d.FLA.gr;1070376;2712798;1.0;255312;711120000;18909;14360000;4.900%
USA-road-d.COL.gr;435666;1057066;4.0;69991;68140000;99;580000;11.700%
USA-road-d.COL.gr;435666;1057066;3.5;69991;68140000;93;860000;7.900%
USA-road-d.COL.gr;435666;1057066;3.0;69991;68140000;92;780000;8.700%
USA-road-d.COL.gr;435666;1057066;2.5;69991;68140000;92;720000;9.400%
USA-road-d.COL.gr;435666;1057066;2.0;69991;68140000;90;500000;13.600%
USA-road-d.COL.gr;435666;1057066;1.5;69991;68140000;172;580000;11.700%
USA-road-d.COL.gr;435666;1057066;1.0;69991;68140000;2080;1720000;3.900%
USA-road-d.NY.gr;264346;733846;4.0;29394;26900000;252;980000;2.700%
USA-road-d.NY.gr;264346;733846;3.5;29394;26900000;257;320000;8.400%
USA-road-d.NY.gr;264346;733846;3.0;29394;26900000;265;820000;3.200%
USA-road-d.NY.gr;264346;733846;2.5;29394;26900000;281;840000;3.200%
USA-road-d.NY.gr;264346;733846;2.0;29394;26900000;296;560000;4.800%
USA-road-d.NY.gr;264346;733846;1.5;29394;26900000;360;940000;2.800%
USA-road-d.NY.gr;264346;733846;1.0;29394;26900000;4825;3140000;800%
