Nome Instância;Número de Vértices;Número de Arestas;Epsisolon;NVA A*;Tempo médio A*;NVA ARA*;Tempo médio ARA*;Ganho de tempo com realção ao A*
USA-road-d.BAY.gr;321270;800172;4.0;13228;238000000;6674;46000000;500%
USA-road-d.BAY.gr;321270;800172;3.5;13228;238000000;7215;19000000;1.200%
USA-road-d.BAY.gr;321270;800172;3.0;13228;238000000;382;11000000;2.100%
USA-road-d.BAY.gr;321270;800172;2.5;13228;238000000;8251;20000000;1.100%
USA-road-d.BAY.gr;321270;800172;2.0;13228;238000000;8327;20000000;1.100%
USA-road-d.BAY.gr;321270;800172;1.5;13228;238000000;8906;22000000;1.000%
USA-road-d.BAY.gr;321270;800172;1.0;13228;238000000;13227;13000000;1.800%
USA-road-d.FLA.gr;1070376;2712798;4.0;206489;307000000;8935;16000000;1.900%
USA-road-d.FLA.gr;1070376;2712798;3.5;206489;307000000;9000;18000000;1.700%
USA-road-d.FLA.gr;1070376;2712798;3.0;206489;307000000;9555;21000000;1.400%
USA-road-d.FLA.gr;1070376;2712798;2.5;206489;307000000;11598;18000000;1.700%
USA-road-d.FLA.gr;1070376;2712798;2.0;206489;307000000;6443;14000000;2.100%
USA-road-d.FLA.gr;1070376;2712798;1.5;206489;307000000;7203;105000000;200%
USA-road-d.FLA.gr;1070376;2712798;1.0;206489;307000000;206488;155000000;100%
USA-road-d.COL.gr;435666;1057066;4.0;17858;36000000;576;25000000;100%
USA-road-d.COL.gr;435666;1057066;3.5;17858;36000000;539;6000000;600%
USA-road-d.COL.gr;435666;1057066;3.0;17858;36000000;637;5000000;700%
USA-road-d.COL.gr;435666;1057066;2.5;17858;36000000;655;5000000;700%
USA-road-d.COL.gr;435666;1057066;2.0;17858;36000000;656;5000000;700%
USA-road-d.COL.gr;435666;1057066;1.5;17858;36000000;674;5000000;700%
USA-road-d.COL.gr;435666;1057066;1.0;17858;36000000;17857;14000000;200%
USA-road-d.NY.gr;264346;733846;4.0;3856;12000000;1013;2000000;600%
USA-road-d.NY.gr;264346;733846;3.5;3856;12000000;1004;3000000;400%
USA-road-d.NY.gr;264346;733846;3.0;3856;12000000;918;4000000;300%
USA-road-d.NY.gr;264346;733846;2.5;3856;12000000;818;4000000;300%
USA-road-d.NY.gr;264346;733846;2.0;3856;12000000;835;5000000;200%
USA-road-d.NY.gr;264346;733846;1.5;3856;12000000;875;4000000;300%
USA-road-d.NY.gr;264346;733846;1.0;3856;12000000;3861;4000000;300%
